Program,Site Name,Additional ID,Physical Type,Legal Status,Legal Status Date,Physical Site Status,RN,County,Region,Phys Addr Line 1,Phys Addr Line 2,Phys Addr City,Phys Addr State,Phys Addr Zip,Phys Addr Zip+4,Near Phys Loc Txt,Near Phys Loc City,Near Phys Loc State,Near Phys Loc Zip,Latitude,Longitude
MSW,CITY OF BORGER TRANSFER STATION FACILITY,40015,5TS,ISSUED, 09/29/1995,ACTIVE,RN101845576,HUTCHINSON,REGION 01 - AMARILLO,801 FLORIDA ST, ,BORGER,TX,     ,    ,801 FLORIDA STREET,BORGER,TX,     ,35.67,-101.37
MSW,CITY OF CANADIAN TRANSFER STATION FACILITY,40026,5TS,ISSUED, 10/12/1994,ACTIVE,RN102003662,HEMPHILL,REGION 01 - AMARILLO,,,,,,,N OF AIRPORT ROAD 800 FEET W INTERSECTION OF AIRPORT ROAD AND US HIGHWAY 60 AND US HIGHWAY 83,CANADIAN,TX,     ,35.90,-100.40
MSW,CITY OF CACTUS TRANSFER STATION FACILITY,40031,5TS,ISSUED, 03/04/1996,ACTIVE,RN101663425,MOORE,REGION 01 - AMARILLO,900 CENTER DR, ,CACTUS,TX,79013,    ,202 HIGHWAY 287,CACTUS,TX,79013,35.84,-101.89
MSW,CITY OF STRATFORD TRANSFER STATION FACILITY,40109,5TS,ISSUED, 01/12/1999,ACTIVE,RN102328374,SHERMAN,REGION 01 - AMARILLO,,,,,,,INTERSECTION OF US HIGHWAY 287 AND US HIGHWAY 54  3100 FEET DUE S 1400 FEET E,STRATFORD,TX,     ,36.33,-102.06
MSW,CITY OF CLARENDON TRANSFER STATION,40192,5TS,ISSUED, 06/16/2008,ACTIVE,RN103009239,DONLEY,REGION 01 - AMARILLO,400 N FRONT ST, ,CLARENDON,TX,79226,1089,APPROX 60 MILES SE OF AMARILLO ALONG US 287,CLARENDON,TX,79226,34.89,-99.89
MSW,BIOCYCLE ,40263,5AC,ISSUED, 02/18/2013,ACTIVE,RN106454895,POTTER,REGION 01 - AMARILLO,8783 US HWY NO 60, ,AMARILLO,TX,79108,6417, ,AMARILLO,TX,79108,35.22,-100.74
MSW,TRI-STATE RECYCLING TEXLINE TRANSFER,40271,5TS,ISSUED, 08/05/2014,ACTIVE,RN107045064,DALLAM,REGION 01 - AMARILLO,,,,,,,HWY 296 E,TEXLINE,TX,79087,36.38,-103.03
MSW,CITY OF DALHART MSW LF TRANSFER STATION,40315,5TS,ISSUED, 12/10/2020,ACTIVE,RN111066411,DALLAM,REGION 01 - AMARILLO,,,,,,,MACKY RD NORTEX RD & US HWY 87 N 3.9 MI NW OF DALHART,DALHART,TX,79022,36.10,-102.59
MSW,ARMSTRONG COUNTY LANDFILL,414,4AE,ISSUED, 06/13/1977,ACTIVE,RN102744216,ARMSTRONG,REGION 01 - AMARILLO,,,,,,,4.5 MILES S OF CLAUDE ON STATE HIGHWAY 207 AND JULIET ROAD,CLAUDE,TX,     ,35.05,-101.36
MSW,CITY OF PAMPA LIQUID WASTE PROCESSING FACILITY,43030,5GG,ISSUED, 02/02/2011,ACTIVE,RN101608974,GRAY,REGION 01 - AMARILLO,,,,,,,PAMPA GRAY COUNTY TEXAS,PAMPA,TX,79066,0.00,0.00
MSW,CITY OF DIMMITT MUNICIPAL SOLID WASTE LANDFILL,445A,1AE,ISSUED, 03/30/1989,ACTIVE,RN102071602,CASTRO,REGION 01 - AMARILLO,,,,,,,NE OF DIMMITT 1 MILE NE OF THE INTERSECTION OF STATE HIGHWAY 86 AND US HIGHWAY 385 INTERSECTION IN CASTRO COUNTY,DIMMITT,TX,     ,34.56,-102.30
MSW,CITY OF MCLEAN LANDFILL,570,1AE,ISSUED, 06/13/1977,ACTIVE,RN101505204,GRAY,REGION 01 - AMARILLO,6447 COUNTY ROAD 29, ,MCLEAN,TX,79057,5851,.5 MILE N OF IH 40  W OF COUNTY ROAD  .5 MILE E OF MCLEAN CITY LIMITS,MC LEAN,TX,79057,35.24,-100.58
MSW,CITY OF PAMPA LANDFILL,589A,4AE,ISSUED, 12/02/1981,ACTIVE,RN101478667,GRAY,REGION 01 - AMARILLO,,,,,,,1 MILE N OF SANTA FE RAIL ROAD  .75 MILES E OF LOOP 171  1.5 MILES NE OF PAMPA,PAMPA,TX,79065,35.57,-100.92
MSW,PRECISION PROCESSORS LANDFILL,647,1,ISSUED, 08/11/1977,INACTIVE,RN101479178,HUTCHINSON,REGION 01 - AMARILLO,,,,,,,1.3 MILE W OF STATE HIGHWAY 152/FM 2171  1000 FEET S OF STATE HIGHWAY 152  IN E BORGER CITY,BORGER,TX,     ,35.67,-101.37
MSW,CITY OF AMARILLO LANDFILL,73A,1,ISSUED, 08/22/2007,ACTIVE,RN100237551,POTTER,REGION 01 - AMARILLO,16250 BEZNER RD, ,AMARILLO,TX,79124,    ,ON 3 MI NW OF AMARILLO  2 MI N IH 40 @ 16250 BEZNER RD IN AMARILLO,AMARILLO,TX,79124,35.22,-102.03
MSW,CITY OF TULIA LANDFILL,749,1,ISSUED, 05/25/1976,NOT CONSTRUCTED,RN102216330,SWISHER,REGION 01 - AMARILLO,,,,,,,N OF TULE LAKE S OF A COUNTY ROAD  4 MILES NE OF TULIA CITY LIMITS,TULIA,TX,     ,34.57,-101.71
MSW,CITY OF AMARILLO TRANSFER STATION,76A,5TS,ISSUED, 07/08/2009,ACTIVE,RN102071743,POTTER,REGION 01 - AMARILLO,811 SE 27TH AVE, ,AMARILLO,TX,79103,1503,811 SE 27TH AVE,AMARILLO,TX,79103,35.19,-101.83
MSW,HARTLEY COUNTY LANDFILL,787,4AE,ISSUED, 08/31/1993,INACTIVE,RN102215324,HARTLEY,REGION 01 - AMARILLO,,,,,,,3000 FEET E OF US HIGHWAY 385 OUTSIDE CHANNING CITY LIMITS,CHANNING,TX,     ,35.68,-102.32
MSW,CAL FARLEYS BOYS RANCH WASTE INCINERATION FACILITY,790,5WI,ISSUED, 09/26/1975,INACTIVE,RN102334240,OLDHAM,REGION 01 - AMARILLO,84 LAKE RD, ,BOYS RANCH,TX,79010,    ,.9 MILE E OF US HIGHWAY 385  .85 MILE N OF CANADIAN RIVER ON BOYS RANCH PROPERTY,BOYS RANCH,TX,79010,35.53,-102.25
MSW,CAL FARLEYS BOYS RANCH LANDFILL,791,4AE,ISSUED, 10/06/1998,ACTIVE,RN102290129,OLDHAM,REGION 01 - AMARILLO,1 LANDFILL DR, ,BOYS RANCH,TX,79010,    ,.9 MI E OF US HWY 385  .4 MI N OF CANADIAN RIVER BOYS RANCH  E PROPERTY,BOYS RANCH,TX,79010,35.53,-102.24
MSW,PERRYTON MUNICIPAL SOLID WASTE LANDFILL,876A,1 AE & 4 AE,ISSUED, 09/06/2007,ACTIVE,RN101999274,OCHILTREE,REGION 01 - AMARILLO,1101 NE 14TH, ,PERRYTON,TX,79070,    ,1.3 MI NE OF SH 15 & US HWY 83 INTX  WITHIN PERRYTON CITY LIMITS,PERRYTON,TX,79070,36.42,-100.79
MSW,CITY OF CLARENDON LANDFILL SMILEY JOHNSON AIRPORT,9016A,MONOFILL,ACKNOWLEDGED, 01/14/2021,ACTIVE,RN108881368,DONLEY,REGION 01 - AMARILLO,119 S SULLY, ,CLARENDON,TX,79226,    ,0.6 MI E OF SH 70 1.4 MI S OF US 287 AT AIRPORT SMILEY JOHNSON AIRPORT SIGN TURN REIGHT,CLAREDON,TX,79226,34.91,-100.87
MSW,CITY OF HEDLEY,9022,MONOFILL,ACKNOWLEDGED, 04/13/2022,ACTIVE,RN111399739,DONLEY,REGION 01 - AMARILLO,,,,,,,HWY 287 TURN RIGHT AT MAIN ST GO TO LINE ST TURN LEFT GO DOWN LINE RD BEFORE BAILEY HAS NO SIGN TURN RIGHT GO DOWN TO DEAD END TURN LEFT AND GO TO LOCKED GATE,HEDLEY,TX,79237,0.00,0.00
MSW,COBB BUILDING,9025,MONOFILL,ACKNOWLEDGED, 05/01/2024,ACTIVE,RN111843728,CASTRO,REGION 01 - AMARILLO,,,,,,,900 BLOCK CR 622,DIMMITT,TX,79027,34.44,-102.38
MSW,CITY OF WELLINGTON LANDFILL,955,1AE,ISSUED, 01/25/1977,ACTIVE,RN102834934,COLLINGSWORTH,REGION 01 - AMARILLO,,,,,,,4OO YARDS W OF FM 1035   .75 MILES SW OF WELLINGTON CITY LIMITS,WELLINGTON,TX,     ,34.84,-100.23
MSW-NOI,KB RECYCLING LLC,100405,5RR,ACKNOWLEDGED, 04/10/2014,ACTIVE,RN107051633,POTTER,REGION 01 - AMARILLO,515 N PHILADELPHIA ST, ,AMARILLO,TX,79107,5662, ,AMARILLO,TX,79107,35.22,-101.81
MSW-NOI,NORTH TEXAS WASTE & RECYCLING,100512,5RR,ACKNOWLEDGED, 08/20/2018,ACTIVE,RN103204954,POTTER,REGION 01 - AMARILLO,4110 E AMARILLO BLVD, ,AMARILLO,TX,79107,5703,AMARILLO POTTER COUNTY TEXAS,AMARILLO,TX,79107,35.22,-101.79
MSW-NOI,CITY OF FARWELL CCS,120089,5CC,ACKNOWLEDGED, 09/27/2012,ACTIVE,RN106512031,PARMER,REGION 01 - AMARILLO,100 9TH ST, ,FARWELL,TX,79325,4609,1.3 MI EAST OF FARWELL ON HAY 70/84 1.3 EAST OF CR 1.3 SOUTH SIDE OF RD,FARWELL,TX,79325,34.38,-103.00
MSW-NOI,TOWN OF DARROUZETT CITIZENS COLLECTION STATION,120182,5CC,ACKNOWLEDGED, 07/09/2020,ACTIVE,RN111015012,LIPSCOMB,REGION 01 - AMARILLO,,,,,,,AT SH 15 & BEAVER ST DARROUZETT TX GO S ON BEAVER ST 1 BLOCK LEFT ON TEXAS AVE THROUGH WHITE GATE SITE ON RIGHT SIDE,CROWELL,TX,79227,0.00,0.00
MSW-NOI,LIFE SOURCE ORGANIC COMPOSTING FACILITY,47011,5RC,ACKNOWLEDGED, 08/17/2001,ACTIVE,RN101492452,LIPSCOMB,REGION 01 - AMARILLO,,,,,,,SW CORNER OF SECTION 940 BLOCK 43 HTNC 40 SQUARE ACRES WILL BE ENGAGED IN THE PROCESSING SITE,SAN ANTONIO,TX,79005,36.34,-100.52
MSW-NOI,BOOKER MUNICIPAL COMPOSTING FACILITY,47013,5RC,ACKNOWLEDGED, 05/03/2001,ACTIVE,RN101573798,LIPSCOMB,REGION 01 - AMARILLO,,,,,,,1.0 MI E 2.5 MI N OF INTX OF SH 15 AND SH 23  W OF BOOKER TX,BOOKER,TX,79005,36.48,-100.50
MSW,CITY OF LITTLEFIELD LANDFILL,1298,4AE,ISSUED, 04/01/1997,INACTIVE,RN102217593,LAMB,REGION 02 - LUBBOCK,2182 FM 2197, ,LITTLEFIELD,TX,79339,6192,4.8 MILES EAST OF THE INTERSECTION OF UNITED STATES HIGHWAY 385 AND 0.3 MILES SOUTH OF FARM-TO-MARKET ROAD 2197,LITTLEFIELD,TX,79939,33.96,-102.25
MSW,CITY OF SUNDOWN LANDFILL,1733,4AE,ISSUED, 09/11/1996,ACTIVE,RN102778081,HOCKLEY,REGION 02 - LUBBOCK,,,,,,,NORTHSIDE OF 3500 BLOCK OF WAGONWHEEL RD. 2.2 MILES SOUTH & 0.75 MILES WEST OF THE INTERS,SUNDOWN,TX,79372,33.42,-102.50
MSW,CITY OF PLAINVIEW LANDFILL,2157,1,ISSUED, 02/21/1992,ACTIVE,RN101667327,HALE,REGION 02 - LUBBOCK,1031 COUNTY ROAD Y, ,PLAINVIEW,TX,79072,    ,"1.1 MI E OF INTX OF FM 400 AND US 70, SOUTHSIDE OF 70",PLAINVIEW,TX,79072,34.18,-101.67
MSW,CITY OF BROWNFIELD LANDFILL,2170,1,ISSUED, 04/07/1993,ACTIVE,RN102668456,TERRY,REGION 02 - LUBBOCK,1400 S SECOND ST, ,BROWNFIELD,TX,79316,    ,"ADJACENT TO OLD LANDFILL
0.8 MI E OF SH-137 1.2 MI S OF LAMESA RD 1 MI SE SEAGRAVE",BROWNFIELD,TX,79316,33.16,-102.27
MSW,CITY OF FLOYDADA LANDFILL,2207,1 AE & 4 AE,ISSUED, 04/28/1993,ACTIVE,RN102001518,FLOYD,REGION 02 - LUBBOCK,2130 U S HIGHWAY 70, ,FLOYDADA,TX,79235,    , ,FLOYDADA,TX,79235,33.97,-101.30
MSW,YOAKUM COUNTY LANDFILL,2217,1 AE & 4 AE,ISSUED, 06/23/1993,ACTIVE,RN101478360,YOAKUM,REGION 02 - LUBBOCK,2050 CR 295, ,PLAINS,TX,79355,    ,WEST OF INTERSECTION US HIGHWAY 214 AND DIXON ROAD  6.7 MILES N OF DENVER CITY,PLAINS,TX,     ,33.09,-102.85
MSW,CITY OF POST LANDFILL,2227,1 AE & 4 AE,ISSUED, 09/17/1993,ACTIVE,RN102120474,GARZA,REGION 02 - LUBBOCK,,,,,,,1.3 MILES S OF US HIGHWAY 380 IN POST  0.4 MILES E OF FM 669,POST,TX,     ,33.17,-101.38
MSW,SOUTH PLAINS DISPOSAL,2231,5GG,ISSUED, 10/28/1993,ACTIVE,RN101289171,LUBBOCK,REGION 02 - LUBBOCK,801 N AVENUE P, ,LUBBOCK,TX,79403,2601, ,LUBBOCK,TX,79403,33.61,-101.85
MSW,WEST TEXAS REGIONAL DISPOSAL LANDFILL,2252,1,ISSUED, 04/11/1997,ACTIVE,RN102327491,LUBBOCK,REGION 02 - LUBBOCK,17304 N FM 2528, ,ABERNATHY,TX,79311,    ,SOUTHEAST INTERSECTION OF FM 579 AND FM 2528,ABERNATHY,TX,79311,33.81,-101.94
MSW,MORTON MUNICIPAL SOLID WASTE LANDFILL,2268,4AE,ISSUED, 04/24/1998,ACTIVE,RN101478147,COCHRAN,REGION 02 - LUBBOCK,,,,,,,1000 FEET E OF 8TH ST  3121 FEET N OF FM 1780 .25 MILE OF MORTON,MORTON,TX,     ,33.74,-102.74
MSW,LITTLEFIELD MUNICIPAL LANDFILL,2274,1 AE & 4 AE,ISSUED, 01/07/2000,ACTIVE,RN102070257,LAMB,REGION 02 - LUBBOCK,2182 FM 2197, ,LITTLEFIELD,TX,79339,6192,.4.7 MI E OF INTX US HWY 385 & FM 2197  APPROX 4.35 MI NE OF CITY,LITTLEFIELD,TX,     ,33.98,-102.24
MSW,CITY OF MULESHOE LANDFILL,2291A,1 AE & 4 AE,ISSUED, 09/06/2019,ACTIVE,RN100630177,BAILEY,REGION 02 - LUBBOCK,,,,,,,1.0 MILES E OF THE MULESHOE CITY LIMITS ON US HIGHWAY 84 APPROXIMATELY 1.8 MILES SE OF THE INTERSECTION OF US HIGHWAY 84 AND STATE HIGHWAY 214,LUBBOCK,TX,79347,34.77,-102.55
MSW,CITY OF MEADOW LANDFILL,2293,1 AE & 4 AE,ISSUED, 04/15/2002,ACTIVE,RN101570976,TERRY,REGION 02 - LUBBOCK,663 COUNTY ROAD 545, ,MEADOW,TX,79345,    ,WEST SIDE OF COUNTY ROAD 545 APPROXIMATELY 1.5 MILES SOUTH OF FM 211,MEADOW,TX,79345,33.30,-102.19
MSW,CITY OF MEADOW LANDFILL,2293C,1 AE & 4 AE,PENDING, 08/09/2024,ACTIVE,RN101570976,TERRY,REGION 02 - LUBBOCK,663 COUNTY ROAD 545, ,MEADOW,TX,79345,    ,WEST SIDE OF COUNTY ROAD 545 APPROXIMATELY 1.5 MILES SOUTH OF FM 211,MEADOW,TX,79345,33.30,-102.19
MSW,ZAHN ENTERPRISES,2323,4,ISSUED, 03/15/2005,ACTIVE,RN102643368,LUBBOCK,REGION 02 - LUBBOCK,7702 NORTH AVENUE P, ,LUBBOCK,TX,79403,    ,7702 N AVENUE P.  LUBBOCK 79403,LUBBOCK,TX,79403,33.67,-101.85
MSW,CITY OF TAHOKA,2328A,1 AE & 4 AE,ISSUED, 11/08/2007,ACTIVE,RN101999563,LYNN,REGION 02 - LUBBOCK,,,,,,,1.5 MILES NORTH OF THE CITY LIMITS AT THE INTERSECTION OF FARM TO MARKET ROAD 400 & COUNTY ROAD R.,TAHOKA,TX,79373,33.20,-101.79
MSW,CITY OF LEVELLAND,2369,1 AE & 4 AE,ISSUED, 04/08/2013,ACTIVE,RN105961809,HOCKLEY,REGION 02 - LUBBOCK,,,,,,,0.5 MI S OF FM 1585 ON BOBWHITE,LEVELLAND,TX,79336,33.49,-102.33
MSW,CITY OF POST LANDFILL,2397,1 AE & 4 AE,ISSUED, 07/05/2018,ACTIVE,RN109766741,GARZA,REGION 02 - LUBBOCK,1637 CR 225, ,POST,TX,79356,    ,0.5 MILES S OF INTERSECTION OF FM 669 & WHITE RD,POST,TX,79356,33.17,-101.38
MSW,CITY OF LUBBOCK TRANSFER STATION,2428,5TS,PENDING, 10/02/2025,NOT CONSTRUCTED,RN112300744,LUBBOCK,REGION 02 - LUBBOCK,,,,,,,7804-200 76 ST,LUBBOCK,TX,79407,33.53,-101.99
MSW,CITY OF AMHERST LANDFILL,363A,4AE,ISSUED, 05/10/2013,ACTIVE,RN102143765,LAMB,REGION 02 - LUBBOCK,,,,,,,.4 MILES E OF AMHERST  .3 MILES N OF FM 37,AMHERST,TX,79312,34.02,-102.40
MSW,CITY OF LEVELLAND TRANSFER STATION FACILITY,40051,5TS,ISSUED, 09/20/1995,ACTIVE,RN102289543,HOCKLEY,REGION 02 - LUBBOCK,,,,,,,1.5 MILES SOUTH  .3 MILES W OF INTERSECTION OF STATE HIGHWAY 114 AND ALAMO ROAD,LEVELLAND,TX,     ,33.57,-102.35
MSW,CALICHE CANYON TRANSFER STATION FACILITY,40176,5TS,ISSUED, 10/16/2001,ACTIVE,RN102304920,LUBBOCK,REGION 02 - LUBBOCK,8425 AVENUE P, ,LUBBOCK,TX,79423,3545,ON SOUTHWEST CORNER OF THE INTERSECTION OF NORTH AVE P AND KEUKA AVENUE ON NORTH AVE P AT 8425 N AVENUE P,LUBBOCK,TX,79423,33.67,-101.86
MSW,STERICYCLE LUBBOCK,40279,5MWTS,ISSUED, 05/26/2015,ACTIVE,RN101287787,LUBBOCK,REGION 02 - LUBBOCK,2901 NE LOOP 289, ,LUBBOCK,TX,79403,3927,2901 NE LOOP 289,LUBBOCK,TX,79403,33.61,-101.80
MSW,SWM-LUBBOCK 1318 KEMPER ST LUBBOCK TX 79403,40317,5AC,ISSUED, 03/11/2021,NOT CONSTRUCTED,RN111100632,LUBBOCK,REGION 02 - LUBBOCK,1318 KEMPER ST, ,LUBBOCK,TX,79403,    , ,LUBBOCK,TX,79403,33.61,-101.87
MSW,CITY OF MATADOR LANDFILL,549A,1AE,ISSUED, 01/09/2001,ACTIVE,RN102143120,MOTLEY,REGION 02 - LUBBOCK,,,,,,,1.5 MILES NORTH OF LOOP 94 1.6 MILES EAST OF SH-70 EASTSIDE OF 200 BLOCK OR CR-211,MATADOR,TX,79244,34.04,-100.82
MSW,CITY OF MULESHOE LANDFILL,564,4AE,ISSUED, 02/08/1978,ACTIVE,RN102119955,BAILEY,REGION 02 - LUBBOCK,,,,,,,S OF US HIGHWAY 84  1.25 MILES E OF STATE HIGHWAY 24 SE OF MULESHOE,MULESHOE,TX,79347,34.21,-102.71
MSW,CITY OF OLTON LANDFILL,583A,1 AE & 4 AE,ISSUED, 05/23/2008,ACTIVE,RN102740198,LAMB,REGION 02 - LUBBOCK,,,,,,,E OF FM 1685 .5 MILE S OF OLTON CITY LIMITS,OLTON,TX,79064,34.09,-102.13
MSW,EXECUTIVE GOLF ENCLOSED STRUCTURE OVER CLOSED LANDFILL,62006,CP,ISSUED, 10/16/1998,INACTIVE,RN101478170,LUBBOCK,REGION 02 - LUBBOCK,,,,,,,INTERSECTION 78TH STREET AND QUAKER AVENUE  KINGS PARK GOLF COURSE,LUBBOCK,TX,     ,33.52,-101.89
MSW,CITY OF LUBBOCK LANDFILL,69,1,ISSUED, 09/01/1995,ACTIVE,RN102304920,LUBBOCK,REGION 02 - LUBBOCK,8425 AVENUE P, ,LUBBOCK,TX,79423,3545,ON SOUTHWEST CORNER OF THE INTERSECTION OF NORTH AVE P AND KEUKA AVENUE ON NORTH AVE P AT 8425 N AVENUE P,LUBBOCK,TX,79423,33.67,-101.86
MSW,CITY OF SPUR HOUSE DISPOSAL SITE,9017B,MONOFILL,ACKNOWLEDGED, 12/20/2022,ACTIVE,RN108932633,DICKENS,REGION 02 - LUBBOCK,,,,,,,2 MI S ON FM 261 4 MI EAST SITE LOCATED ON 207 ACRES,SPUR,TX,79370,33.45,-100.86
MSW,CITY OF SUDAN,9020A,MONOFILL,ACKNOWLEDGED, 09/23/2022,ACTIVE,RN110049269,LAMB,REGION 02 - LUBBOCK,,,,,,,TAKE HWY 303 N FROM HWY 84 TAKE A RIGHT AT SHANNON ST GO APPROX 4000 E THEN N 2000 TO SITE,SUDAN,TX,79312,34.08,-102.51
MSW-NOI,MATTHEWS BACKHOE INC,100000,5RR,ACKNOWLEDGED, 01/27/2004,ACTIVE,RN104595038,LUBBOCK,REGION 02 - LUBBOCK,4521 E FM 2641, ,LUBBOCK,TX,79403,7340,GO EAST ON 2641 FROM INTERSECTION OF I-27 GO 3.5 MILES ON NORTHSIDE OF 4521 E FM 2641 ROAD.,LUBBOCK,TX,79423,33.61,-101.82
